Data File:      undir_data/ca-AstroPhUND.txt-mcmc-format
noofIteration:  2000
sizeOfSubgrah:  100
File reading time: 0.52763 sec
277,937,1316,1372,1407,1614,1952,2030,2266,2286,2305,2329,2393,2456,2569,2676,3074,3136,3386,3667,3912,3968,4413,4669,4699,5092,5110,5599,5668,5827,5856,5952,6114,6161,6634,7071,7453,7529,7559,7567,7572,7802,7830,8930,9283,9311,9342,9548,9647,9908,10212,10272,10381,10465,10484,10705,11352,11650,11658,11688,11733,11849,12256,12753,12868,12942,13342,13396,13668,13884,14037,14080,14120,14303,14323,14573,14752,14859,15047,15161,15405,15629,15728,15990,16088,16317,16916,17029,17085,17281,17302,17436,17439,17510,17599,18123,18219,18458,18464,18562
277,961,1372,1482,1718,1952,2030,2266,2286,2305,2393,2843,3032,3057,3136,3149,3667,3968,4436,4669,4699,4744,4802,5110,5599,5952,6114,6161,6634,6911,7071,7090,7453,7529,7553,7559,7567,7572,7575,7802,7830,8924,8930,8978,9283,9423,9548,9908,10212,10272,10352,10381,10705,10832,10857,11033,11035,11352,11650,11658,11688,11733,11849,12256,12639,12753,12868,12942,13342,13396,13884,13911,14037,14080,14303,14573,14752,14830,14941,15161,15728,15894,15990,16242,16317,16585,16879,17029,17075,17085,17249,17281,17599,17814,18094,18163,18219,18458,18464,18562
288,901,961,1372,1718,1750,2124,2266,2286,2393,2414,2843,2847,3057,3136,3149,3968,4669,4699,4970,5185,5294,5425,5427,5599,5847,6114,6200,6911,7071,7090,7529,7553,7559,7572,7830,8193,8479,8930,8978,9283,9313,9382,9423,9548,9908,10212,10272,10352,10381,10688,10705,10832,11033,11035,11262,11352,11658,11688,12360,12586,12650,12753,12868,12942,12957,13342,13396,13785,13884,14037,14221,14303,14579,14752,14830,14884,14890,14925,14941,15728,15834,15894,16034,16525,16585,16716,16879,17029,17085,17249,17281,17637,17814,18094,18328,18562,18667,18710,18767
18,276,353,901,961,1287,1372,1446,1745,1750,2124,2242,2266,2324,2393,2843,3136,3149,3570,3968,4019,4408,4669,4699,4970,5185,5294,5427,5559,5578,5599,5803,5878,5983,6091,6114,6200,6759,6911,7026,7090,7438,7529,7559,7572,7830,8193,8479,8930,9230,9283,9382,9423,9548,9908,10212,10272,10352,10381,10531,10688,10705,11035,11215,11226,11262,11321,11352,11658,12650,12753,12942,12957,12986,13067,13396,13884,14037,14221,14303,14390,14752,14830,14884,14890,14941,15728,15834,15894,16525,16716,16879,17195,17249,17637,17988,18128,18562,18667,18710
154,276,353,539,1052,1372,1649,1750,2393,2513,2842,2843,3136,3158,3570,3968,4019,4631,4669,4699,4970,5185,5294,5427,5559,5578,5599,5803,5991,6091,6114,6200,6382,6759,6911,7090,7438,7529,8193,8479,8665,8865,8930,9230,9283,9382,9423,9548,9574,9638,9908,10002,10212,10272,10323,10352,10498,10688,10705,10825,10888,11035,11215,11226,11262,11321,11352,11578,11658,12256,12650,12669,12942,12957,13063,13260,13344,13502,13845,13884,14037,14300,14390,14830,14884,14941,14947,15728,15834,15894,16525,16879,17130,17637,17877,17988,18029,18562,18667,18710
113,276,539,1224,1272,1649,1750,2101,2330,2393,2618,2843,3136,3158,3570,3968,4019,4631,4669,4699,4970,5294,5356,5427,5441,5578,5599,5803,6091,6114,6200,6276,6590,6646,6860,6911,6960,7090,7438,7858,8479,8665,8930,9215,9230,9548,9574,9638,9928,10002,10212,10272,10323,10352,10688,10705,10825,10888,11035,11226,11262,11352,11578,11658,12256,12337,12669,12942,12957,13063,13502,13574,13719,13744,13845,13929,14037,14390,14710,14830,14853,14884,14941,14947,15629,15657,15728,15834,15894,16399,16526,16879,17637,17765,17828,17877,17988,18562,18667,18710
274,276,290,784,950,1224,1649,1750,2330,2393,2843,3136,3158,3443,3471,3570,4019,4699,4970,5018,5294,5356,5427,5441,5576,5578,5599,5803,6091,6114,6200,6276,6646,6683,6911,6960,7090,7333,7438,7906,8161,8665,8930,9054,9092,9215,9230,9268,9493,9548,9564,9574,9844,9928,10002,10272,10705,11035,11262,11352,11578,11593,12151,12256,12337,12669,12942,12957,13063,13502,13744,13879,13929,14037,14066,14113,14237,14826,14830,15345,15604,15629,15657,15728,15834,15894,16399,16526,16879,16907,16932,17418,17637,17765,17835,17877,17988,18055,18562,18667
64,274,390,784,1874,2270,2393,2748,3136,3411,3443,3454,3589,4019,4041,4699,4970,5294,5356,5427,5441,5468,5576,5599,5753,5803,6091,6209,6584,6646,6683,6762,6911,6960,7090,7333,7438,7851,7906,8139,8457,8906,8930,9024,9092,9202,9493,9528,9548,9574,9806,9928,10272,10565,10616,11035,11262,11352,11578,12151,12237,12256,12337,12669,12768,12957,13063,13502,13573,13879,13929,14066,14113,14270,14726,14799,14826,15216,15345,15629,15657,15834,15894,15896,16094,16399,16526,16879,16932,17418,17514,17670,17765,17835,17877,18212,18248,18562,18667,18678
156,274,390,492,1874,2096,2270,2393,2748,2982,3136,3443,3454,3627,4970,5201,5294,5356,5427,5441,5468,5599,5778,5803,6091,6161,6168,6584,6646,6683,6962,7065,7090,7827,7851,7971,8139,8457,8850,8930,9009,9092,9202,9493,9548,9574,9709,9806,9928,10164,10272,10654,11035,11215,11262,11488,12055,12151,12237,12256,12664,12754,12894,12957,13502,13573,13834,13841,13872,13929,14006,14100,14113,14270,14726,14799,14814,15603,15629,15657,15834,15885,15894,16094,16526,16879,16932,17418,17732,17765,17835,17837,17877,17962,18248,18270,18407,18562,18667,18678
274,287,390,420,492,900,1011,1559,2270,2393,2546,2748,2982,3136,3443,4178,4191,4444,4468,4742,4970,5294,5356,5427,5468,5567,5778,5803,5804,5967,6091,6161,6200,6646,6727,6962,7090,7124,7827,7851,8139,8185,8433,8457,8930,9009,9092,9202,9239,9493,9548,9549,9574,9588,9888,10114,10164,10272,10654,10802,11215,11262,12151,12256,12484,12754,12894,13304,13502,13834,13841,13929,14270,14726,14814,14963,15101,15601,15627,15629,15657,15834,15885,15894,16060,16094,16526,16601,16806,16809,16879,16932,17732,17776,17835,17837,18270,18407,18667,18678
